date,open,high,low,close,adjusted_close,volume,polarity,close_2d_mavg,volume_2d_mavg,polarity_2d_mavg,close_3d_mavg,volume_3d_mavg,polarity_3d_mavg,close_5d_mavg,volume_5d_mavg,polarity_5d_mavg,close_7d_mavg,volume_7d_mavg,polarity_7d_mavg,close_14d_mavg,volume_14d_mavg,polarity_14d_mavg,daily_pct_change,macd,signal_line,rsi,vwap
2024-02-12,192.11,194.73,187.28,188.13,188.13,95498602,0.4978846153846153,190.85,89987477.0,0.5588286713286713,190.42,87669664.33333333,0.6074482808857808,188.78799999999998,99444039.2,0.503090397102897,187.55857142857144,106018186.42857143,0.4434135537081966,188.9492857142857,114355521.21428572,0.4624494311447686,-2.810352843932429,-5.065090429947901,-5.210406904586868,34.341928752422135,190.04666666666665
2024-02-13,183.99,187.26,182.1087,184.02,184.02,86759477,0.5368571428571428,186.075,91129039.5,0.5173708791208791,188.57333333333335,88911477.0,0.5515048285048284,188.572,92260734.6,0.5535261113886114,187.00285714285715,102610582.71428572,0.47169351184529745,187.24857142857144,111740490.57142857,0.4667041080155169,-2.184659543932377,-5.2115983157076755,-5.21064518681103,32.96608956932323,187.388651843137
2024-02-14,185.3,188.89,183.35,188.71,188.71,81202992,0.6674166666666667,186.365,83981234.5,0.6021369047619047,186.95333333333335,87820357.0,0.5673861416361414,188.798,86194292.4,0.6053237304362303,188.0957142857143,95026095.0,0.531389399291185,187.68285714285716,103392361.64285715,0.47798661717302604,2.5486360178241574,-4.892861208360387,-5.147088391120902,56.15633859862293,187.2637260786432
2024-02-15,189.16,200.88,188.8595,200.45,200.45,120831797,0.616,194.57999999999998,101017394.5,0.6417083333333333,191.06000000000003,96264755.33333333,0.6067579365079364,190.97600000000003,93753844.0,0.5875862304362304,190.28857142857143,94762637.42857143,0.5787210319442462,188.9114285714286,104355832.64285715,0.4812974637338726,6.221185946690677,-3.6508550848448635,-4.847841729865695,64.21487603305783,190.24011946354187
2024-02-16,202.06,203.17,197.4,199.95,199.95,111346703,0.5182916666666667,200.2,116089250.0,0.5671458333333332,196.37,104460497.33333333,0.6005694444444444,192.252,99127914.2,0.5672900183150184,192.05571428571426,94735708.85714285,0.5944157598354026,189.55571428571426,103379661.28571428,0.48245450969179066,-0.249438762783738,-2.6760542178757873,-4.4134842274677135,58.45836459114777,192.47164147935595
2024-02-20,196.13,198.6,189.13,193.76,193.76,104545797,0.50553125,196.855,107946250.0,0.5119114583333333,198.0533333333333,112241432.33333333,0.5466076388888889,193.378,100937353.2,0.5688193452380952,192.6557142857143,97808817.14285715,0.5659648669782598,189.71071428571432,102991339.28571428,0.48637116231982297,-3.095773943485869,-2.3756141743202477,-4.00591021683822,51.84367034834324,192.7082528359868
2024-02-21,193.36,199.44,191.95,194.77,194.77,103844000,0.563875,194.265,104194898.5,0.534703125,196.16,106578833.33333333,0.5292326388888888,195.528,104354257.8,0.5742229166666666,192.82714285714286,100575624.0,0.5579794773678702,190.24500000000003,103035810.85714285,0.4996932777044384,0.5212634186622767,-2.032584349035176,-3.6112450432776115,56.73146148308137,193.10331761378612
2024-02-22,194.0,198.32,191.36,197.41,197.41,92739453,0.3974782608695651,196.09,98291726.5,0.4806766304347825,195.31333333333336,100376416.66666667,0.48896150362318824,197.26799999999997,106661550.0,0.5202352355072464,194.15285714285713,100181459.85714285,0.5436357124371487,190.8557142857143,103099823.14285715,0.4935246330726727,1.3554448837089783,-1.5300671429111503,-3.1950094632043196,57.549002295603024,193.40516899936165
2024-02-23,195.31,197.57,191.5,191.97,191.97,78841922,0.278625,194.69,85790687.5,0.3380516304347825,194.71666666666667,91808458.33333333,0.4133260869565216,195.57199999999997,98263575.0,0.45276023550724637,195.28857142857143,99050380.57142857,0.5067454063146998,191.1457142857143,100830481.64285715,0.4892194590799987,-2.7556861354541273,-1.5528805324959194,-2.8665836770626396,53.321335078534034,193.42991538865473
2024-02-26,192.29,201.78,192.0,199.4,199.4,111747102,0.4665,195.685,95294512.0,0.37256249999999996,196.26,94442825.66666667,0.3808677536231883,195.462,98343654.8,0.442401902173913,196.81571428571428,103413824.85714285,0.47804302536231885,192.45571428571427,99219959.92857143,0.5047162123267519,3.8703964161066917,-0.9603510738230625,-2.485337156414724,64.86223662884927,193.9162127384597
2024-02-27,204.04,205.6,198.26,199.73,199.73,108645398,0.6426428571428572,199.565,110196250.0,0.5545714285714285,197.03333333333333,99744807.33333333,0.4625892857142857,196.656,99163575.0,0.46982422360248444,196.71285714285713,101672910.71428572,0.4818491478112984,193.50071428571428,98217774.07142857,0.5302850898777722,0.16549648946839746,-0.45884963385060473,-2.0800396519019,62.614243835143995,194.63791481343313
2024-02-28,200.42,205.3,198.44,202.04,202.04,99806172,0.5322307692307693,200.885,104225785.0,0.5874368131868132,200.39,106732890.66666667,0.5471245421245421,198.10999999999999,98356009.4,0.4634953774486384,197.01142857142855,100024263.42857143,0.48384044817759886,194.5335714285714,97379986.14285715,0.5391281040065008,1.1565613578330858,0.12356715967598575,-1.6393182895863232,62.50432376340366,195.2462579256415
2024-02-29,204.18,205.28,198.4463,201.88,201.88,85906969,0.7104285714285714,201.95999999999998,92856570.5,0.6213296703296702,201.21666666666667,98119513.0,0.6284340659340659,199.004,96989512.6,0.5260854395604395,198.17142857142858,97361573.71428572,0.5131114940959661,195.41357142857143,97585195.42857143,0.539538180537113,-0.07919223916056373,0.5657049077703107,-1.1983136501149965,61.0,195.6901312038639
2024-03-01,200.52,204.52,198.5,202.64,202.64,82243117,0.6987272727272728,202.26,84075043.0,0.704577922077922,202.18666666666664,89318752.66666667,0.6471288711288711,201.138,97669751.6,0.6101058941058942,199.29571428571427,94275733.28571428,0.5323761044855766,196.06142857142854,97425678.64285715,0.5451777909267234,0.3764612641173004,0.9662891274137735,-0.7653930946092425,58.59715639810426,196.0637657514354
